target_id	length	eff_length	est_counts	tpm
U00096.3|b0236|NA|CDS|prfH	501	322	6	0.824361
U00096.3|b0237|AAC73341.1|CDS|pepD	1458	1279	986	34.1058
U00096.3|b0238|AAC73342.1|CDS|gpt	459	280	267	42.1867
U00096.3|b0239|AAC73343.1|CDS|frsA	1245	1066	144	5.97623
U00096.3|b0240|NA|CDS|crl	1178	999	247.535	10.9621
U00096.3|b0241|AAC73345.1|CDS|phoE	1056	877	8	0.403564
U00096.3|b0242|AAC73346.1|CDS|proB	1104	925	257	12.2917
U00096.3|b0243|AAC73347.1|CDS|proA	1254	1075	271	11.1528
U00096.3|b0244|NA|tRNA|thrW	76	4.14046	0	0
U00096.3|b4626|NA|CDS|ykfN	63	3.78007	0	0
U00096.3|b0245|AAC73348.1|CDS|ykfI	342	163	20	5.42831
U00096.3|b0246|AAC73349.1|CDS|yafW	318	139	5	1.59139
U00096.3|b4504|ABD18634.1|CDS|ykfH	222	43.8484	3	3.02684
U00096.3|b0247|AAC73350.1|CDS|ykfG	477	298	13	1.92996
U00096.3|b0248|AAC73351.1|CDS|yafX	459	280	27	4.26607
U00096.3|b0249|AAC73352.1|CDS|ykfF	240	61.0822	3	2.17284
U00096.3|b0250|AAC73353.1|CDS|ykfB	468	289	17	2.60239
U00096.3|b0251|AAC73354.2|CDS|yafY	444	265	9	1.50251
U00096.3|b4627|NA|CDS|ykfL	222	43.8484	2	2.0179
U00096.3|b4628|NA|CDS|ykfK	192	21.9418	0	0
U00096.3|b0252|AAC73355.2|CDS|yafZ	822	643	11	0.75684
U00096.3|b0253|AAC73356.2|CDS|ykfA	864	685	21	1.35628
U00096.3|b0254|AAC73357.1|CDS|perR	894	715	14	0.866252
U00096.3|b4587|NA|CDS|insN	1912	1733	45.7839	1.16879
U00096.3|b0256|AAC73359.1|CDS|insI1	1152	973	25.2105	1.14628
U00096.3|b0258|NA|CDS|ykfC	1108	929	18	0.857194
U00096.3|b0259|AAC73362.1|CDS|insH1	1017	838	39.4192	2.08107
U00096.3|b0260|AAC73363.2|CDS|mmuP	1404	1225	17	0.613953
U00096.3|b0261|AAC73364.1|CDS|mmuM	933	754	13	0.762771
U00096.3|b0262|AAC73365.2|CDS|afuC	1047	868	3	0.152906
U00096.3|b0263|NA|CDS|afuB	348	169	2	0.523559
U00096.3|b0264|AAC73367.1|CDS|insB1	504	325	10.4903	1.428
U00096.3|b0265|AAC73368.1|CDS|insA	276	97.0001	8.49701	3.8754
U00096.3|b4708|NA|CDS|insI1	174	14.6185	0.155156	0.469556
U00096.3|b4505|NA|CDS|insX	249	70.019	5	3.15919
U00096.3|b0266|NA|CDS|yagB	309	130	3	1.02094
U00096.3|b0267|AAC73370.1|CDS|yagA	1155	976	1	0.0453286
U00096.3|b0268|AAC73371.2|CDS|yagE	909	730	13	0.787848
U00096.3|b0269|AAC73372.1|CDS|yagF	1968	1789	25	0.618232
U00096.3|b0270|AAC73373.1|CDS|yagG	1383	1204	10	0.367448
U00096.3|b0271|AAC73374.1|CDS|yagH	1611	1432	6	0.185366
U00096.3|b0272|AAC73375.1|CDS|yagI	759	580	38	2.89853
U00096.3|b0273|AAC73376.1|CDS|argF	1005	826	21	1.12476
U00096.3|b4688|NA|CDS|ykgS	205	29.9375	0	0
U00096.3|b0274|AAC73377.1|CDS|insB1	504	325	10.4903	1.428
U00096.3|b0275|AAC73378.1|CDS|insA	276	97.0001	8.49701	3.8754
U00096.3|b0276|NA|CDS|yagJ	828	649	10	0.681675
U00096.3|b0277|AAC73380.1|CDS|yagK	627	448	8	0.790013
U00096.3|b0278|AAC73381.1|CDS|yagL	699	520	5	0.425391
U00096.3|b0279|AAC73382.1|CDS|yagM	855	676	7	0.458114
U00096.3|b0280|AAC73383.1|CDS|yagN	441	262	19	3.2083
U00096.3|b0281|AAC73384.1|CDS|intF	1401	1222	133	4.81507
U00096.3|b4629|NA|tRNA|ptwF	49	3.46281	0	0
U00096.3|b4694|NA|CDS|yagP	339	160	13	3.59456
U00096.3|b4695|NA|CDS|ykgT	78	4.20281	0	0
U00096.3|b0283|AAC73386.1|CDS|paoD	957	778	20	1.13729
U00096.3|b0284|AAC73387.1|CDS|paoC	2199	2020	7	0.153309
U00096.3|b0285|AAC73388.1|CDS|paoB	957	778	0	0
U00096.3|b0286|AAC73389.1|CDS|paoA	690	511	3	0.25973
U00096.3|b0287|AAC73390.1|CDS|yagU	615	436	66	6.69699
U00096.3|b0288|AAC73391.1|CDS|ykgJ	330	151	5	1.46492
U00096.3|b0289|AAC73392.2|CDS|ecpE	711	532	3	0.249478
U00096.3|b0290|AAC73393.1|CDS|ecpD	1644	1465	8	0.241588
U00096.3|b0291|AAC73394.1|CDS|ecpC	2526	2347	15	0.282748
U00096.3|b0292|AAC73395.1|CDS|ecpB	669	490	5	0.451436
U00096.3|b0293|AAC73396.1|CDS|ecpA	588	409	11	1.18985
U00096.3|b0294|AAC73397.1|CDS|ecpR	591	412	1	0.10738
U00096.3|b0295|AAC73398.1|CDS|ykgL	228	49.4247	1	0.895113
U00096.3|b4506|ABD18636.1|CDS|ykgO	141	8.14747	0	0
